,sexe,age,activite,emploi,salaire,retraite,etudes,handicap,statut_marital
0,femme,0,False,False,0.0,0.0,True,False,0
1,femme,0,False,False,0.0,0.0,True,False,0
2,femme,0,False,False,0.0,0.0,True,False,0
3,femme,0,False,False,0.0,0.0,True,False,0
4,femme,0,False,False,0.0,0.0,True,False,0
5,femme,0,False,False,0.0,0.0,True,False,0
6,femme,1,False,False,0.0,0.0,True,False,0
7,femme,1,False,False,0.0,0.0,True,False,0
8,femme,1,False,False,0.0,0.0,True,False,0
9,femme,1,False,False,0.0,0.0,True,False,0
10,femme,1,False,False,0.0,0.0,True,False,0
11,femme,1,False,False,0.0,0.0,True,False,0
12,femme,2,False,False,0.0,0.0,True,False,0
13,femme,2,False,False,0.0,0.0,True,False,0
14,femme,2,False,False,0.0,0.0,True,False,0
15,femme,2,False,False,0.0,0.0,True,False,0
16,femme,2,False,False,0.0,0.0,True,False,0
17,femme,2,False,False,0.0,0.0,True,True,0
18,femme,3,False,False,0.0,0.0,True,False,0
19,femme,3,False,False,0.0,0.0,True,False,0
20,femme,3,False,False,0.0,0.0,True,False,0
21,femme,3,False,False,0.0,0.0,True,False,0
22,femme,3,False,False,0.0,0.0,True,False,0
23,femme,3,False,False,0.0,0.0,True,False,0
24,femme,4,False,False,0.0,0.0,True,False,0
25,femme,4,False,False,0.0,0.0,True,False,0
26,femme,4,False,False,0.0,0.0,True,False,0
27,femme,4,False,False,0.0,0.0,True,False,0
28,femme,4,False,False,0.0,0.0,True,False,0
29,femme,4,False,False,0.0,0.0,True,False,0
30,femme,5,False,False,0.0,0.0,True,False,0
31,femme,5,False,False,0.0,0.0,True,False,0
32,femme,5,False,False,0.0,0.0,True,False,0
33,femme,5,False,False,0.0,0.0,True,False,0
34,femme,5,False,False,0.0,0.0,True,False,0
35,femme,5,False,False,0.0,0.0,True,False,0
36,femme,6,False,False,0.0,0.0,True,False,0
37,femme,6,False,False,0.0,0.0,True,False,0
38,femme,6,False,False,0.0,0.0,True,False,0
39,femme,6,False,False,0.0,0.0,True,False,0
